ts,symbol,buy_exchange,sell_exchange,net_profit,net_pct,net_usd,size_usd,qty_base,buy_price_eff,sell_price_eff,status,reason,used_l2
2025-08-14T00:35:19.712493,ALTUSDT,mexc,bybit,1078.8154,1078.8154,1078.82,100.0,30562.34718826,0.003272,0.03858,filled,paper_exec,False
2025-08-14T00:35:21.385057,GAMEUSDT,bybit,mexc,88700.126,88700.126,88700.13,100.0,3382.94993234,0.02956,26.2494,filled,paper_exec,False
2025-08-14T00:38:51.828492,NEIROUSDT,binance,mexc,129.6692,129.6692,129.67,100.0,225789.69947391,0.00044289,0.0010184,filled,paper_exec,False
2025-08-14T00:38:55.330552,ALTUSDT,mexc,binance,1075.7103,1075.7103,1075.71,100.0,30553.00947143,0.003273,0.03849,filled,paper_exec,False
2025-08-14T00:39:35.992043,ALTUSDT,mexc,binance,1076.6269,1076.6269,1076.63,100.0,30553.00947143,0.003273,0.03852,filled,paper_exec,False
2025-08-14T00:50:45.886617,NEIROUSDT,mexc,bybit,11138.588,11138.588,11138.59,100.0,98951.11814764,0.0010106,0.11358,filled,paper_exec,False
2025-08-14T00:50:46.835189,APPUSDT,mexc,bybit,1.6996,1.6996,1.7,100.0,30931.02381689,0.003233,0.003297,filled,paper_exec,False
2025-08-14T00:50:53.789118,NEIROUSDT,binance,mexc,127.2088,127.2088,127.21,100.0,226464.66018978,0.00044157,0.0010045,filled,paper_exec,False
2025-08-14T00:54:07.277743,ALTUSDT,mexc,binance,1072.9606,1072.9606,1072.96,100.0,30553.00947143,0.003273,0.0384,filled,paper_exec,False
2025-08-14T00:55:14.056849,NEIROUSDT,binance,mexc,126.1677,126.1677,126.17,100.0,225428.31379621,0.0004436,0.0010045,filled,paper_exec,False
2025-08-14T00:55:15.730620,ALTUSDT,mexc,binance,1076.3214,1076.3214,1076.32,100.0,30553.00947143,0.003273,0.03851,filled,paper_exec,False
2025-08-14T00:58:28.214418,ALTUSDT,mexc,binance,1076.6269,1076.6269,1076.63,100.0,30553.00947143,0.003273,0.03852,filled,paper_exec,False
2025-08-14T00:59:12.939668,ALTUSDT,mexc,binance,1081.9622,1081.9622,1081.96,100.0,30731.40749846,0.003254,0.03847,filled,paper_exec,False
2025-08-14T01:02:25.273159,NEIROUSDT,binance,mexc,126.5226,126.5226,126.52,100.0,225759.11502427,0.00044295,0.0010046,filled,paper_exec,False
2025-08-14T01:02:46.760901,ALTUSDT,mexc,binance,1084.705,1084.705,1084.7,100.0,30778.70113881,0.003249,0.0385,filled,paper_exec,False
2025-08-14T01:03:29.622812,NEIROUSDT,binance,mexc,126.7276,126.7276,126.73,100.0,225963.16800362,0.00044255,0.0010046,filled,paper_exec,False
2025-08-14T01:03:59.276151,ALTUSDT,mexc,binance,1081.4874,1081.4874,1081.49,100.0,30703.1010132,0.003257,0.03849,filled,paper_exec,False
2025-08-14T01:04:01.096358,NEIROUSDT,binance,mexc,126.5892,126.5892,126.59,100.0,225825.39180705,0.00044282,0.0010046,filled,paper_exec,False
2025-08-14T01:04:31.618508,ALTUSDT,mexc,binance,1081.8503,1081.8503,1081.85,100.0,30712.53071253,0.003256,0.03849,filled,paper_exec,False
